,likes,media/0/__typename,media/0/ocrText,shares,text,time_x,viewsCount,PID,index,id,time_y,comment,name
0,2158,Photo,"May be an image of 3 people, poster, magazine and text that says 'వైయస్సార్ రైతు ధాన్యం సేకరణ భరోసా (PM కిసాన్) వైయస్సార్ రైతు భరోసా కేంద్రాలు పాల సేకరణ PMAN రైతులకు ఉచిత ట్రాక్ర్లు బోర్లు సున్నా వడ్డీ రుణాలు ஸ సంక్షేమం కోసం ప్రభుత్వం చేపట్టిన రైతు సంక్షేమ r0J ప్రభుత్వం పథకాలు ₹ Kethireddy Peddareddy ఇలా రైతు సంక్షేమం కోసం ఈనాలుగేళ్లలో వైయస్ జగన్ గారు అందించిన సాయం అక్షరాలా రూ.1,70,769.23 కోట్లు కేతిరెడ్డి పెద్దారెడ్డి, తాడిపత్రి నియోజకవర్గ శాసనసభ్యులు'",23,"రైతు సంక్షేమ ప్రభుత్వం 

#KethireddyPeddareddyMLA  #PeddaReddyMLA 
#KethireddyPeddareddy #TadipatriMLA #Tadipatri #CMYSJagan #YSRCPAgain2024 #ysrcp #KethireddyHarshaVardhanReddy #KethireddySaiPrathapReddy #AndhraPradesh #YSJaganMarkGovernance #manammakamnuvejagananna",2023-07-10T02:37:59.000Z,,pfbid0cFVEVuXqhLsrFMYSKKCFGkDBgteuHhFmALJSdXKyGgDUAe6bkBoqDLRMre4bZiRMl,pfbid0cFVEVuXqhLsrFMYSKKCFGkDBgteuHhFmALJSdXKyGgDUAe6bkBoqDLRMre4bZiRMl,"['169686826006923', '3391983877730856', '590712283177599', '1243976002980431', '6817174994982880', '931265361311332', '818082549745921', '3481615205410601', '263757669724645']","[datetime.datetime(2023, 7, 10, 3, 0), datetime.datetime(2023, 7, 10, 0, 0), datetime.datetime(2023, 7, 9, 0, 0), datetime.datetime(2023, 7, 10, 0, 0), datetime.datetime(2023, 7, 9, 0, 0), datetime.datetime(2023, 7, 10, 0, 0), datetime.datetime(2023, 7, 9, 0, 0), datetime.datetime(2023, 7, 10, 13, 0), datetime.datetime(2023, 7, 10, 7, 0)]","['Moramreddy Dhanalakshmi Srinivasareddy', '420 jaffa ycp కేడి ప్రభుత్వం నిత్యావసర వస్తువుల ధరలు విపరీతంగా పెరగడంతో ప్రజలు తీవ్ర ఇబ్బందులు పడుతున్నారు ఇసుక అక్రమ రవాణాను అరికట్టిలీ మద్యం అమ్మకాలు జోరుగా సాగుతున్నాయి అప్పులు ఆంద్రప్రదేశ్ రాష్ట్రా0 రాజధాని లేదు ప్రతేక హోదా లేదు jaffa ప్రభుత్వం', 'Kommisetty Purnakishore', 'Srinivas Reddy', 'Yes. JAI JAGAN ANNA', '💐💐💐', '🙏🙏', '🙏🙏', 'Mastan Shaik']","['Moramreddy Dhanalakshmi Srinivasareddy', 'Ramesh Babu', 'Kommisetty Purnakishore', 'Srinivas Reddy', 'Vijayendra Rao Jadhav', 'Girija Kumari', 'Shaikh Shaikh', 'Dimmu Kewat', 'Mastan Shaik']"
1,155,Photo,"May be an image of lego, statue and text",7,"ఈ రోజు(08-07-2023) దివంగత మహానేత డా.వై.ఎస్. రాజశేఖర్ రెడ్డి గారి జయంతిని పురస్కరించుకుని తాడిపత్రి పట్టణం లోని వైఎస్సార్ సర్కిల్ నందు ఉన్న దివంగత మహానేత డా. వై. ఎస్. రాజశేఖర్ రెడ్డి గారి విగ్రహానికి పూల మాలలు వేసి నివాళులర్పించడంతో పాటుగా, తాడిపత్రి రూరల్ మండలం సజ్జలదిన్నే గ్రామ సమీపం నందు నూతనంగా నిర్మించిన డా. వైఎస్సార్ గ్రామీణ పార్కును ప్రారంభించి, పార్కు నందు ఏర్పాటు చేసిన దివంగత మహానేత డా. వై. ఎస్. రాజశేఖర్ రెడ్డి గారి విగ్రహాన్ని ఆవిష్కరించి, విగ్రహానికి పూల మాలలు వేసి నివాళులర్పించిన ఎమ్మెల్యే శ్రీ కేతిరెడ్డి పెద్దారెడ్డి గారు, యువ నాయకులు శ్రీ కేతిరెడ్డి హర్షవర్ధన్ రెడ్డి గారు.....

#YSRJayanthi
#LegacyLivesOn
#YSRCPAgain2024
#GadapaGadapakuManaPrabhuthvam
#CMYSJagan #Navaratnalu
#KethireddyPeddareddyMLA
#KethireddyHarshaVardhanReddy
#KethireddySaiPrathapReddy
#YSRCP
#Tadipatri
#KethireddyMLA
#TadipatriMLA
#PeddaReddyMLA
#HarshaVardhanReddy
#Adminpost",2023-07-08T09:58:03.000Z,,pfbid02gkHDAewVD9iaGmqJx6DK1UTdoSNmmwWNKPPKsgiFS1g5XU3Hr3P1TutLGpJHjKjWl,pfbid02gkHDAewVD9iaGmqJx6DK1UTdoSNmmwWNKPPKsgiFS1g5XU3Hr3P1TutLGpJHjKjWl,"['1028994708259472', '1988785798150111']","[datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0)]","['Mastan Shaik', 'Mastan Shaik']","['Mastan Shaik', 'Mastan Shaik']"
2,68,GenericAttachmentMedia,,9,https://youtu.be/FQOO_BeuBtY,2023-07-08T05:18:05.000Z,,pfbid0mbPTyYXYGEpzbubQbmGgmUpFNPfDHvE7D6BYh4b51tSLuGcUAURkbuKf3qkSVVBMl,pfbid0mbPTyYXYGEpzbubQbmGgmUpFNPfDHvE7D6BYh4b51tSLuGcUAURkbuKf3qkSVVBMl,"['767727808464987', '307873124908041', '1501906097010815', '798634105004521']","[datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0)]","['Comedy piece', ""Hat's off MLA garu good speech"", 'Mastan Shaik', 'Mastan Shaik']","['Nagaraju Reddy', 'Haji Vali', 'Mastan Shaik', 'Mastan Shaik']"
3,68,GenericAttachmentMedia,,9,https://youtu.be/FQOO_BeuBtY,2023-07-08T05:18:05.000Z,,pfbid0mbPTyYXYGEpzbubQbmGgmUpFNPfDHvE7D6BYh4b51tSLuGcUAURkbuKf3qkSVVBMl,pfbid0mbPTyYXYGEpzbubQbmGgmUpFNPfDHvE7D6BYh4b51tSLuGcUAURkbuKf3qkSVVBMl,"['767727808464987', '307873124908041', '1501906097010815', '798634105004521']","[datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0)]","['Comedy piece', ""Hat's off MLA garu good speech"", 'Mastan Shaik', 'Mastan Shaik']","['Nagaraju Reddy', 'Haji Vali', 'Mastan Shaik', 'Mastan Shaik']"
4,3829,Photo,"May be an image of 3 people, poster and text that says ""కుల,మత, పార్టీలకు అతీతంగా ప్రతి ఒక్కరికి సంక్షేమ పథకాలు అందించిన దివంగత మహానేత డాక్టర్ వైయస్ రాజశేఖరరెడ్డి గారి జయంతి నేడు కేతిరెడ్డి పెద్దారెడ్డి, తాడిపత్రి నియోజకవర్గ శాసనసభ్యులు""",41,"కుల,మత, పార్టీలకు అతీతంగా ప్రతి ఒక్కరికి సంక్షేమ

పథకాలు అందించిన దివంగత మహానేత డాక్టర్ వైయస్ రాజశేఖరరెడ్డి గారి జయంతి నేడు
#YSRJayanthi  #HBDYSR #YSRForever #YSR #YsRajaSekharReddy 

#KethireddyPeddareddyMLA #PeddaReddyMLA #KethireddyPeddareddy #TadipatriMLA #Tadipatri #ysrcp #YSRCongressParty #YSJagan #cmysjagan #AndhraPradesh #AdminPost #KethireddyHarshaVardhanReddy #KethireddySaiPrathapReddy #manammakamnuvejagananna #YSJaganAgainIn2024 #tadipatripeople",2023-07-07T18:31:52.000Z,,pfbid0Mzz7S7hTntpC9P6eYodbauDB9thGeCqQp6Upi7tCAu1Qh83bUuhde5fU83PhiH5el,pfbid0Mzz7S7hTntpC9P6eYodbauDB9thGeCqQp6Upi7tCAu1Qh83bUuhde5fU83PhiH5el,"['291710823268368', '282833014413143', '831833304661555', '817835652888758', '809276034024373', '667403708770964', '1329395684598257', '2641284699369502', '300671575725247', '2645932392238869', '964772614573007', '654381266579919', '1268186687135625', '983341606122911', '1747315689073240', '1681287645721280', '1702527376858679', '1526494381216947', '1051749765794018', '285750673958783', '1144988106435190', '2332766916909950', '1307866206486519', '6696194810413368', '1188516061823520', '1404287380393851', '829628895262503', '1297647734524001', '228527953466631', '1338481850345477', '7660017800762994', '302986445484924', '3513191968921821', '820576775896166', '637442278339787', '1375510203007113']","[datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0)]","['Girija Kumari', 'Susma Susma', 'Ysr Pavankumar Reddy', 'JOHAR YSR GARU JAI JAGAN JAI JAI JAGAN 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍', 'Venkateswara Reddy', 'Maha metha.Maha rotha.', 'Savarapu Satish', '👏👏👏💐💐💐💐వైసీపీ జై', 'Sir Meeku Akkada to face Ysrcp Party is their Any one to Stand in front of U.....', '🙏🙏', '🙏🙏🙏', '🙏🙏🙏💐💐', 'JOHAR PEDDAYANA', 'Chvs Kumar', 'Àmen', 'Mastan Shaik', 'God bless you daddy', 'Satyanarayana Kalluri', 'Heavenly birthday wishes to legendary leader.', 'Shaida Shaik', '🙏🙏🙏', '🙏🙏🙏', 'Many many happy returns of the day daddy', 'Velamati Gopala Krishna', '🙏🙏🙏🙏', '👍👍👍', 'Velamati Gopala Krishna', '🙏', 'Shareef Sk Shareef Sk', 'Mastan Shaik', 'Kodamati Eswarrao', 'Gopi Meka', 'M Jayakumar M Jayakumar', 'Syed Reyaz', 'Pramilamma P.', '🎂🎂🎂']","['Girija Kumari', 'Susma Susma', 'Ysr Pavankumar Reddy', 'Velamati Gopala Krishna', 'Venkateswara Reddy', 'Bobby Sarma', 'Savarapu Satish', 'Dhanalakshmi Surakathi', 'Vijay Seerapu', 'Shaikh Shaikh', 'Raju Kalluri', 'Jagdish Prasad', 'Naga Raju', 'Chvs Kumar', 'Dammu Ramanaiah', 'Mastan Shaik', 'Dammu Ramanaiah', 'Satyanarayana Kalluri', 'Raveendra Nadh', 'Shaida Shaik', 'Sivakumar Kavitha', 'Viswarupa Alavalapati', 'Dammu Ramanaiah', 'Velamati Gopala Krishna', 'Kasaechalapathi Saicharana', 'Maruthi V Maruthi', 'Velamati Gopala Krishna', 'Aratipamula Bramhaya Bramhaya', 'Shareef Sk Shareef Sk', 'Mastan Shaik', 'Kodamati Eswarrao', 'Gopi Meka', 'M Jayakumar M Jayakumar', 'Syed Reyaz', 'Pramilamma P.', 'Thippes Laxmi']"
5,2939,Video,,106,"#KethireddyPeddareddyMLA #KethireddyPeddareddy #PeddaReddyMLA #manammakamnuvejagananna #TadipatriMLA #tadipatri #tadipatripeople #ysrcp #ysjagan #YSRCongressParty #YSJaganAgainIn2024 #AndhraPradesh
#kethireddysaiprathapreddy #kethireddysai #ysjaganedits
#KethireddyHarshaVardhanReddy 
 #AdminPost",2023-07-07T14:19:25.000Z,112317.0,pfbid0F74Kbwrn77rTtB9NTdHNa7AwJLXnHXrWoYzhWkW2aXdiDrwCxJLgq78KaJysQUrdl,pfbid0F74Kbwrn77rTtB9NTdHNa7AwJLXnHXrWoYzhWkW2aXdiDrwCxJLgq78KaJysQUrdl,"['568981005410842', '1430121764470864', '1032959007869850', '217278447941429', '1172879387438681', '116980638117264', '653524363324762', '820217202995730', '1084978299147117', '594697676123843', '2121634461359713', '617173303850426', '1820308675051262', '232210119639310', '639491751536486', '306721218520545', '875403744194480', '619172440308591', '1056717832157972', '553944266947521', '278734554828315', '971648517361302']","[datetime.datetime(2023, 7, 9, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 9, 0, 0), datetime.datetime(2023, 7, 9, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 9, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 9, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 10, 0, 0), datetime.datetime(2023, 7, 10, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 9, 0, 0), datetime.datetime(2023, 7, 7, 0, 0), datetime.datetime(2023, 7, 8, 0, 0)]","['👑👑👑👑King👑👑. Kethireddy Pedda Reddy MLA', 'Kasi Viswanadham Velugolu', 'జోహారు రాజన్న నిను మరవదు ఈ జగతి', 'Peddareddenna thopu.endukate thadipathrilo oka adavi mrugam tho YUDDAM chestunnadu.', 'Johar YSR Garu Jai YSRCP Jai JAGAN GARU Super Good Jai peddaRrddy', 'Chaipu thaigalira niku. Paidhhareddy', 'Ramaswamy Kulagana', '🙏🌹🙏🌹🙏🌹w👌🌹🌹👌q🙏🌹🌹🌹🙏🙏', 'Alavalapati Mallikarjuna Reddy', 'Pandu Pandu', 'Johar YSR 🙏🙏🎂💐 happy birthday 🎉 పెద్దాయన..', 'Reddy Prakash N S', 'Pandu Pandu', 'Johar YSR', 'Kolli Duryodhana', 'Johar ysr', 'Johar ysr', 'YSR Amar rahe johar YSR you r true Legend', 'Gangireddy Shekar', 'Vanganuru Yallappa', 'Parimi Chinna Venkatanaidu', 'Xxx ve']","['Moramreddy Dhanalakshmi Srinivasareddy', 'Kasi Viswanadham Velugolu', 'తలారి రాజగోపాల్', 'Kothapalli NagiReddy', 'Nandanareddy Kamireddy', 'Pavan Ram Pavan Ram', 'Ramaswamy Kulagana', 'Pujari Lakshmikanth', 'Alavalapati Mallikarjuna Reddy', 'Pandu Pandu', 'Ysr Pavankumar Reddy', 'Reddy Prakash N S', 'Pandu Pandu', 'Krish Golagana', 'Kolli Duryodhana', 'Ravi Tarak', 'M Chinthalarayudu M Chinthalarayudu', 'Sri Ram Murthy Bali', 'Gangireddy Shekar', 'Vanganuru Yallappa', 'Parimi Chinna Venkatanaidu', 'Sandeep Sandeep']"
6,35,Photo,"May be an image of 8 people, dais and text",4,"ఈ రోజు(06-07-2023)భారత దేశ తొలి దళిత ఉప ప్రధాని, ప్రముఖ స్వాతంత్ర సమర యోధులు డాక్టర్ బాబూ జగ్జీవన్ రాం వర్ధంతి సందర్భముగా  తాడిపత్రి పట్టణం లోని వైఎస్సార్సీపీ పార్టీ కార్యాలయం నందు ఆయన చిత్ర పటానికి పూలమాల వేసి, ఘన నివాళులర్పించిన ఎమ్మెల్యే శ్రీ కేతిరెడ్డి పెద్దారెడ్డి గారు.......

#KethireddyPeddareddyMLA
#KethireddyHarshaVardhanReddy
#KethireddySaiPrathapReddy
#YSRCP
#Tadipatri
#KethireddyMLA
#TadipatriMLA
#PeddaReddyMLA
#HarshaVardhanReddy
#Adminpost",2023-07-06T11:19:34.000Z,,pfbid0qDqSe5uFETnBfz8qLtPJxZekSQWtDQtPsLNsVvfwSCbd5N1soGN2HKfXJiEpkBXql,pfbid0qDqSe5uFETnBfz8qLtPJxZekSQWtDQtPsLNsVvfwSCbd5N1soGN2HKfXJiEpkBXql,['3088825558091908'],"[datetime.datetime(2023, 7, 6, 0, 0)]",['Mastan Shaik'],['Mastan Shaik']
7,303,Photo,"May be an image of 7 people, hospital and text that says 'మ్జైన OT పాల పోరటి వావిటి ដ'",7,"ఈ రోజు (06-07-2023) పెద్దవడుగూరు మండలం కోనాపురం గ్రామానికి చెందిన 8వ  తరగతి విద్యార్థి హరినాథ్ రెడ్డి ప్రమాదవశాత్తు పాముకాటుకు గురికావడం జరిగింది. దీంతో విద్యార్థిని చికిత్స నిమిత్తం తాడిపత్రి ప్రభుత్వ ఆసుపత్రికి తీసుకువచ్చారు. విషయం తెలుసుకున్న ఎమ్మెల్యే శ్రీ కేతిరెడ్డి పెద్దారెడ్డి గారు తాడిపత్రి ప్రభుత్వ ఆసుపత్రి చేరుకుని, పాము కాటుకు గురైన విద్యార్థిని పరామర్శించి, విద్యార్థికి మెరుగైన చికిత్సను అందించాలని వైద్యులను ఆదేశించారు.

#KethireddyPeddareddyMLA
#KethireddyHarshaVardhanReddy
#KethireddySaiPrathapReddy
#YSRCP
#Tadipatri
#KethireddyMLA
#TadipatriMLA
#PeddaReddyMLA
#HarshaVardhanReddy
#Adminpost",2023-07-06T11:03:35.000Z,,pfbid02XV5M9jQ6ZV3MDtJjaWDarVmMUD5aqa8TALbSEuHUEDExKvmCW1ycHH12LnfAFBdsl,pfbid02XV5M9jQ6ZV3MDtJjaWDarVmMUD5aqa8TALbSEuHUEDExKvmCW1ycHH12LnfAFBdsl,"['668584947954255', '1855483944848827', '591787346435314', '3548580132083189', '515813507349004', '956760132037820']","[datetime.datetime(2023, 7, 8, 0, 0), datetime.datetime(2023, 7, 6, 0, 0), None, datetime.datetime(2023, 7, 6, 0, 0), datetime.datetime(2023, 7, 6, 0, 0), datetime.datetime(2023, 7, 6, 0, 0)]","['S Raju S Raju', 'Super sir', '👌👌👌👌👍🏿', 'G Sairam', 'Sai Sindhu Sareddy', 'Mastan Shaik']","['S Raju S Raju', 'Batta Nani Batta Nani', 'Chittemreddy Rangeswarareddy', 'G Sairam', 'Sai Sindhu Sareddy', 'Mastan Shaik']"
8,184,Photo,"May be an image of 3 people, shawl, plant, temple, picnic and text",5,"ఈ రోజు (06-07-2023) తాడిపత్రి పట్టణానికి చెందిన వైఎస్ఆర్సీపీ నాయకులు ప్రతాప్ యాదవ్ గారి తండ్రి అనారోగ్య కారణంగా మృతి చెందడం జరిగింది. దీంతో విషయం తెలుసుకున్న ఎమ్మెల్యే  కేతిరెడ్డి పెద్దారెడ్డి గారు ప్రతాప్ యాదవ్ గారి ఇంటి వద్దకు చేరుకొని, ఆయన తండ్రి గారి మృతదేహానికి పూలమాలలు వేసి నివాళులర్పించి, వారి కుటుంబ సభ్యులను పరామర్శించారు.......

#KethireddyPeddareddyMLA
#KethireddyHarshaVardhanReddy
#KethireddySaiPrathapReddy
#YSRCP
#Tadipatri
#KethireddyMLA
#TadipatriMLA
#PeddaReddyMLA
#HarshaVardhanReddy
#Adminpost",2023-07-06T10:42:26.000Z,,pfbid02S7Aurusm8oWV2FBmZp6AafyG3hg7nXFPsWQqXEpiLx4UwHxair12WefTMTHGqhTPl,pfbid02S7Aurusm8oWV2FBmZp6AafyG3hg7nXFPsWQqXEpiLx4UwHxair12WefTMTHGqhTPl,"['849808933432244', '6459399720819301', '802352588013071', '764546235405160', '991997318822267']","[None, datetime.datetime(2023, 7, 6, 0, 0), None, datetime.datetime(2023, 7, 6, 0, 0), datetime.datetime(2023, 7, 6, 0, 0)]","['ఓం శాంతి', 'Dinne Suneel', 'Mastan Shaik', 'G Sairam', 'G Sairam']","['Dvkumar Doguruvenkatakumar', 'Dinne Suneel', 'Mastan Shaik', 'G Sairam', 'G Sairam']"
9,276,Photo,"May be an image of 9 people, flute, barong, dais, temple and text",8,"*ఈ రోజు(06-07-2023) పెద్దపప్పూరు మండలం జుటూరు గ్రామ సచివాలయం వద్ద నిర్వహించిన జగనన్న సురక్ష కార్యక్రమంలో పాల్గొని, జగనన్న సురక్ష కార్యక్రమం ద్వారా అర్హులైన వారికి వారు దరఖాస్తు చేసుకున్న అర్హత పత్రాలను అందజేసిన ఎమ్మెల్యే శ్రీ కేతిరెడ్డి పెద్దారెడ్డి గారు*.......

#JaganannaSuraksha 
#YSRCPAgain2024
#GadapaGadapakuManaPrabhuthvam
#CMYSJagan #Navaratnalu
#KethireddyPeddareddyMLA
#KethireddyHarshaVardhanReddy
#KethireddySaiPrathapReddy
#YSRCP
#Tadipatri
#KethireddyMLA
#TadipatriMLA
#PeddaReddyMLA
#HarshaVardhanReddy
#Adminpost",2023-07-06T10:29:03.000Z,,pfbid0SkXGFStr55rWDKLperZjZ1KXpQUuk1yD2hbv7VgGMH4bE7Y6iGq9UmW3zxaszaAfl,pfbid0SkXGFStr55rWDKLperZjZ1KXpQUuk1yD2hbv7VgGMH4bE7Y6iGq9UmW3zxaszaAfl,['1316596405597242'],[None],['Mastan Shaik'],['Mastan Shaik']
